name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Dominator Platinum RGB 64 GB,239.99,"5,5600","2,32",3.75,White,14.286,40
Corsair Vengeance 32 GB,125.41,"5,5600","2,16",3.919,Gray,12.857,36
Kingston HyperX Fury 16 GB,,"4,2666","2,8",,Black,12.003,16
G.Skill Trident Z RGB 32 GB,109.99,"4,3200","4,8",3.437,Black,10,16
G.Skill Trident Z5 RGB 64 GB,214.99,"5,6000","2,32",3.359,Black,10,30
Corsair Vengeance RGB 32 GB,114.99,"5,6400","2,16",3.593,Black,11.25,36
TEAMGROUP T-Create Expert 32 GB,94.99,"5,6000","2,16",2.968,White,12.667,38
Kingston FURY Beast 32 GB,115.85,"5,5200","2,16",3.62,Black / Silver,15.385,40
G.Skill Trident Z5 RGB 32 GB,129.99,"5,7200","2,16",4.062,Silver / Black,9.444,34
Patriot Viper 4 Blackout 64 GB,109.99,"4,3200","2,32",1.719,Black,10,16
Corsair Vengeance LPX 32 GB,75.98,"4,2666","2,16",2.374,Black / Yellow,12.003,16
Patriot Signature Premium 16 GB,36.99,"4,2666","2,8",2.312,Black,14.254,19
ADATA XPG GAMMIX D20 16 GB,70.23,"4,3200","2,8",4.389,Black / Silver,10,16
Corsair Dominator Titanium 64 GB,339.99,"5,6400","4,16",5.312,Black,10,32
G.Skill Trident Z5 RGB 32 GB,117.99,"5,6000","2,16",3.687,Black,10,30
Patriot Viper 3 16 GB,26.99,"3,1866","2,8",1.687,Black / Silver,10.718,10
G.Skill Trident Z RGB 32 GB,99.99,"4,4400","2,16",3.125,Black,8.636,19
G.Skill Trident Z RGB 96 GB,339.99,"5,6400","2,48",3.542,Black,10,32
Crucial Pro 96 GB,312.99,"5,5600","2,48",3.26,Black,16.429,46
Corsair Vengeance RGB 64 GB,249.99,"5,6600","2,32",3.906,Black / Gray,9.697,32
G.Skill Ripjaws S5 48 GB,149.99,"5,6400","2,24",3.125,Black,10,32
Samsung M378A2K43CB1-CTD 16 GB,30.32,"4,2666","1,16",1.895,Green / Black,14.254,19
G.Skill Trident Z5 RGB 32 GB,124.99,"5,6800","2,16",3.906,Black / Silver,10,34
Corsair Dominator Titanium 32 GB,209.99,"5,7200","2,16",6.562,Black,9.444,34
Kingston FURY Beast 16 GB,72.47,"5,4800","2,8",4.529,Black,15.833,38
Corsair Dominator Platinum RGB 32 GB,169.99,"5,6000","2,16",5.312,Black,10,30
Crucial CT8G4DFS824A 8 GB,17.98,"4,2400","1,8",2.248,Green,14.167,17
Kingston HyperX Fury 32 GB,,"4,3200","2,16",,Black,10,16
Gigabyte AORUS RGB 32 GB,,"5,6000","2,16",,Black,13.333,40
Corsair Vengeance RGB Pro SL 16 GB,53.99,"4,3200","2,8",3.374,White / Black,10,16
Corsair Vengeance 32 GB,119.99,"5,6000","2,16",3.75,Black,12,36
Crucial CT2K32G48C40U5 64 GB,159.49,"5,4800","2,32",2.492,Black,16.667,40
Corsair Vengeance 32 GB,114.99,"5,6000","2,16",3.593,Black,12,36
TEAMGROUP T-Create Expert 32 GB,99.99,"5,6400","2,16",3.125,White,10,32
G.Skill Trident Z5 Neo RGB 64 GB,219.99,"5,6000","2,32",3.437,Silver / Black,10,30
Corsair Vengeance LPX 64 GB,147.99,"4,3200","4,16",2.312,Black / Yellow,10,16
Corsair Vengeance RGB RS 32 GB,79.98,"4,3200","2,16",2.499,Black / Gray,10,16
Corsair Dominator Titanium 48 GB,269.99,"5,7200","2,24",5.625,White,10,36
Corsair Dominator Titanium 64 GB,299.99,"5,6000","2,32",4.687,Black,10,30
G.Skill Trident Z Neo 64 GB,204.99,"4,3600","4,16",3.203,Black / Silver,8.889,16
TEAMGROUP Elite 8 GB,17.98,"4,2666","1,8",2.248,Black,14.254,19
Corsair Vengeance RGB Pro 32 GB,122.99,"4,3200","2,16",3.843,Black,10,16
Kingston FURY Beast RGB 16 GB,55,"4,3600","2,8",3.438,Black,9.444,17
Klevv BOLT X 16 GB,39.99,"4,3600","2,8",2.499,Black,10,18
Corsair Dominator Titanium 32 GB,214.99,"5,7000","2,16",6.718,White,9.714,34
Corsair Dominator Platinum RGB 32 GB,119.99,"4,3200","2,16",3.75,Black,10,16
Corsair Vengeance RGB 32 GB,124.99,"5,6400","2,16",3.906,White / Black,11.25,36
G.Skill Trident Z5 RGB 64 GB,214.99,"5,6000","2,32",3.359,White / Black,10,30
TEAMGROUP T-Force Delta RGB 32 GB,96.99,"5,5200","2,16",3.031,Black,15.385,40
Corsair Vengeance 32 GB,129.99,"5,6000","2,16",4.062,Gray,12,36
Crucial Ballistix Sport 1 GB,9,"3,1600","1,1",9,Black / Silver,12.5,10
G.Skill Aegis 8 GB,21.99,"4,3000","1,8",2.749,Black / Red,10.667,16
Corsair Vengeance RGB 64 GB,309.99,"5,6600","4,16",4.844,Black / Gray,9.697,32
Silicon Power XPOWER Zenith Gaming 32 GB,98.97,"5,6000","2,16",3.093,Black,10,30
G.Skill Ripjaws S5 32 GB,102.99,"5,5600","2,16",3.218,White,10,28
PNY XLR8 16 GB,39.99,"4,3200","2,8",2.499,Black / Red,10,16
Corsair Dominator Platinum RGB 64 GB,279.99,"5,6000","2,32",4.375,Black,13.333,40
Corsair Vengeance RGB 32 GB,134.99,"5,6000","2,16",4.218,Black,12,36
Kingston FURY Beast RGB 32 GB,132.99,"5,5600","2,16",4.156,Black,12.857,36
Corsair Vengeance RGB Pro 32 GB,84.99,"4,3600","2,16",2.656,Black,10,18
Corsair Vengeance LPX 32 GB,80.34,"4,3600","2,16",2.511,Black / Yellow,10,18
Corsair Vengeance LPX 8 GB,34.99,"4,2666","2,4",4.374,Black / Yellow,12.003,16
TEAMGROUP T-Force Delta RGB 64 GB,194.99,"5,6000","2,32",3.047,Black / Silver,12.667,38
TEAMGROUP Elite 32 GB,72.98,"5,4800","1,32",2.281,Black,16.667,40
G.Skill Ripjaws V 64 GB,139.99,"4,3200","4,16",2.187,Black,10,16
Kingston FURY Beast 16 GB,58.6,"5,5200","1,16",3.663,Black / Silver,15.385,40
Corsair Vengeance RGB 32 GB,120.71,"5,6000","2,16",3.772,White,13.333,40
G.Skill Ripjaws S5 96 GB,389.99,"5,6800","2,48",4.062,Black,10,34
ADATA XPG SPECTRIX D60G 16 GB,,"4,3200","2,8",,,10,16
Kingston Fury Renegade RGB 32 GB,164.99,"5,6400","2,16",5.156,Silver / Black,10,32
ADATA XPG GAMMIX D10 32 GB,103.97,"4,3200","2,16",3.249,Black / Silver,10,16
Corsair Vengeance RGB 96 GB,349.99,"5,6000","2,48",3.646,Black / Silver,10,30
Corsair Vengeance LPX 16 GB,44.99,"4,2133","2,8",2.812,Black / Yellow,12.189,13
Corsair Vengeance LPX 16 GB,44.99,"4,3200","2,8",2.812,White,10,16
G.Skill Aegis 32 GB,59.99,"4,3000","2,16",1.875,Red / Black,10.667,16
TEAMGROUP T-Force Delta RGB 16 GB,52.16,"4,3200","2,8",3.26,White,10,16
Kingston FURY Beast 128 GB,448.84,"5,5600","4,32",3.507,White,14.286,40
Patriot Viper 4 Blackout 64 GB,113.99,"4,3600","2,32",1.781,Black,10,18
G.Skill Trident Z5 RGB 96 GB,339.99,"5,6400","2,48",3.542,White / Black,10,32
Lexar Ares RGB 32 GB,,"5,6400","2,16",,White,10,32
Samsung Green 8 GB,17.8,"4,2133","1,8",2.225,Green / Black,14.065,15
Patriot Viper Elite II 16 GB,42.99,"4,4000","2,8",2.687,Red / Black,10,20
G.Skill Trident Z5 RGB 32 GB,115.99,"5,6400","2,16",3.625,Black,10,32
TEAMGROUP Elite 64 GB,103.99,"4,3200","2,32",1.625,Black,13.75,22
TEAMGROUP Elite 16 GB,,"4,3200","2,8",,Black,13.75,22
TEAMGROUP T-Create Classic 32 GB,59.99,"4,3200","2,16",1.875,Silver,13.75,22
Kingston FURY 32 GB,158.19,"5,6000","2,16",4.943,White,13.333,40
Lexar Hades OC 16 GB,35.88,"4,3600","2,8",2.243,Gray / Black,10,18
G.Skill Ripjaws S5 32 GB,104.99,"5,6000","2,16",3.281,White,10,30
Corsair Vengeance RGB 64 GB,239.99,"5,6000","2,32",3.75,Black,13.333,40
G.Skill Ripjaws S5 32 GB,119.99,"5,6800","2,16",3.75,Black,10,34
Kingston HyperX Fury 16 GB,,"3,1866","2,8",,Black / Silver,10.718,10
Corsair Vengeance RGB 64 GB,249.99,"5,5600","4,16",3.906,Black,12.857,36
Corsair Vengeance LPX 16 GB,39.99,"4,3000","1,16",2.499,Black,10.667,16
G.Skill Trident Z 32 GB,1332.08,"4,3200","2,16",41.627,Red / Silver,9.375,15
TEAMGROUP Elite 32 GB,82.99,"5,5200","2,16",2.593,Black,16.154,42
G.Skill Trident Z5 Neo RGB 32 GB,112.99,"5,6000","2,16",3.531,Black,12,36
G.Skill Ripjaws 4 8 GB,,"4,2400","1,8",,Black / Green,12.5,15
ADATA XPG LANCER 32 GB,107,"5,5200","2,16",3.344,Black,14.615,38
Corsair Vengeance RGB 96 GB,377.99,"5,6800","2,48",3.937,Black / Silver,11.765,40
Crucial Ballistix MAX 16 GB,995,"4,5100","2,8",62.188,Black,7.451,19
Kingston FURY Renegade 16 GB,72.75,"4,3600","2,8",4.547,Black / Silver,8.889,16
Crucial CT2K16G48C40U5 32 GB,90.04,"5,4800","2,16",2.814,Black,16.667,40
G.Skill Trident Z Royal 128 GB,480.36,"4,4000","4,32",3.753,Silver,9,18
Corsair Dominator Platinum RGB 32 GB,154.99,"5,5600","2,16",4.843,Black,12.857,36
G.Skill Flare X5 32 GB,99.99,"5,5600","2,16",3.125,Black,10.714,30
TEAMGROUP T-Force Delta RGB 16 GB,,"4,3000","2,8",,White,10.667,16
TEAMGROUP T-Force Delta RGB 32 GB,74.98,"4,3200","2,16",2.343,Black,10,16
Corsair Vengeance 64 GB,224.99,"5,6000","4,16",3.515,Black / Silver,12,36
Corsair Vengeance RGB 64 GB,222.99,"5,6000","2,32",3.484,White / Black,13.333,40
Corsair Vengeance LPX 32 GB,89.99,"4,3200","4,8",2.812,Black / Yellow,10,16
Corsair Vengeance 8 GB,49.99,"3,1600","2,4",6.249,Black / Silver,11.25,9
Silicon Power XPOWER Zenith Gaming 64 GB,,"5,6000","2,32",,White,10,30
Patriot Viper Steel 64 GB,119.99,"4,3600","2,32",1.875,Silver / Black,10,18
Kingston FURY Beast RGB 16 GB,84.99,"5,5200","2,8",5.312,Black,13.846,36
Corsair Vengeance 64 GB,239.99,"5,5600","4,16",3.75,Gray,12.857,36
Patriot Viper 4 Blackout 8 GB,23.99,"4,3000","2,4",2.999,Black,10.667,16
Crucial CT4G4DFS8266 4 GB,14.28,"4,2666","1,4",3.57,Green / Black,14.254,19
Kingston FURY Beast RGB 32 GB,110.87,"4,3600","2,16",3.465,Black,10,18
TEAMGROUP T-Force Vulcan alpha 32 GB,92.99,"5,6000","2,16",2.906,Black / Silver,12.667,38
Patriot Viper Elite 5 RGB 32 GB,92.99,"5,6200","2,16",2.906,White,13.548,42
Crucial Ballistix 32 GB,,"4,3200","2,16",,Black,10,16
Kingston FURY Beast 16 GB,87.21,"5,5200","2,8",5.451,Black / Silver,13.846,36
Corsair Dominator Titanium 64 GB,334.99,"5,6000","4,16",5.234,White,12,36
Kingston FURY 128 GB,434.99,"5,5200","4,32",3.398,White,15.385,40
TEAMGROUP T-Force Zeus 16 GB,34.99,"4,3200","2,8",2.187,Red,12.5,20
TEAMGROUP Elite 16 GB,48.99,"5,5200","1,16",3.062,Black,16.154,42
Corsair Vengeance LPX 32 GB,104.99,"4,4000","2,16",3.281,Black / Yellow,9,18
Kingston HyperX Fury 8 GB,,"4,3200","1,8",,Black / Silver,11.25,18
G.Skill Trident Z5 Neo RGB 32 GB,119.99,"5,6400","2,16",3.75,,10,32
G.Skill Trident Z RGB 32 GB,81.99,"4,3200","2,16",2.562,Black,10,16
TEAMGROUP T-Force Vulcan alpha 32 GB,85.99,"5,5600","2,16",2.687,Black / Silver,14.286,40
G.Skill Ripjaws X 8 GB,30.88,"3,1600","2,4",3.86,Black / Red,11.25,9
G.Skill Ripjaws S5 64 GB,179.99,"5,6000","2,32",2.812,Black,12,36
Corsair Vengeance RGB 64 GB,214.99,"5,5600","2,32",3.359,Black / Gray,14.286,40
Crucial CT16G4DFRA32A 16 GB,33.99,"4,3200","1,16",2.124,Green,13.75,22
Kingston ValueRAM 4 GB,12.99,"4,2666","1,4",3.248,Green / Black,14.254,19
Corsair Vengeance 96 GB,369.99,"5,6600","2,48",3.854,Black / Silver,9.697,32
OLOy WarHawk RGB 16 GB,40.99,"4,3200","2,8",2.562,Black / Gold,10,16
Kingston KVR16N11/8 8 GB,12.99,"3,1600","1,8",1.624,Green,13.75,11
ADATA XPG SPECTRIX D50 16 GB,49.99,"4,3200","2,8",3.124,Black,10,16
Patriot Signature Line 8 GB,18.98,"4,3200","1,8",2.373,,13.75,22
G.Skill Trident Z RGB 32 GB,99.99,"4,3600","2,16",3.125,Black,8.889,16
Corsair Vengeance RGB 32 GB,144.99,"5,7000","2,16",4.531,Black / Silver,11.429,40
Corsair Vengeance LPX 16 GB,49.99,"4,3600","2,8",3.124,Black / Yellow,10,18
Kingston FURY Beast 64 GB,147.44,"4,3200","2,32",2.304,Black / Silver,10,16
Crucial Ballistix 16 GB,,"4,3600","2,8",,Black,8.889,16
Kingston FURY Renegade 16 GB,,"4,5333","2,8",,Black,7.5,20
G.Skill Trident Z Royal 16 GB,79.98,"4,3200","2,8",4.999,Silver,10,16
Corsair Dominator Titanium First Edition 64 GB,359.99,"5,6600","2,32",5.625,White,9.697,32
TEAMGROUP Elite 16 GB,28.81,"4,3200","1,16",1.801,Black,13.75,22
Crucial CT2K16G4DFRA32A 32 GB,67.98,"4,3200","2,16",2.124,Green / Black,13.75,22
G.Skill Ripjaws V 64 GB,209.99,"4,4400","2,32",3.281,Black,8.636,19
G.Skill Ripjaws V 16 GB,41.99,"4,2400","2,8",2.624,Black / Red,12.5,15
G.Skill Trident Z5 RGB 64 GB,194.99,"5,6000","2,32",3.047,Black,12,36
TEAMGROUP T-Force Vulcan 64 GB,149.99,"5,5200","2,32",2.344,Black,15.385,40
Corsair Vengeance RGB 64 GB,217.99,"5,5600","2,32",3.406,Gray,12.857,36
Corsair Vengeance LPX 32 GB,,"4,3200","2,16",,Black / Yellow,10,16
Corsair Dominator Platinum RGB 32 GB,179.99,"4,3600","4,8",5.625,White,10,18
G.Skill Trident Z RGB 64 GB,179.99,"4,4000","2,32",2.812,Black,9,18
TEAMGROUP T-Create Expert 48 GB,199.99,"5,7200","2,24",4.166,Black,9.444,34
TEAMGROUP T-Force DELTAα RGB 32 GB,102.99,"5,6000","2,16",3.218,Black,12.667,38
Kingston Server Premier 32 GB,69.99,"4,3200","1,32",2.187,,13.75,22
Kingston FURY Beast 16 GB,75.7,"5,5600","2,8",4.731,Black,14.286,40
Corsair Vengeance RGB 32 GB,144.99,"5,6400","2,16",4.531,White / Silver,10,32
TEAMGROUP T-Force Delta RGB 16 GB,46.11,"4,3200","2,8",2.882,Black,10,16
Corsair Vengeance LPX 4 GB,14.99,"4,2400","1,4",3.748,Black / Yellow,13.333,16
G.Skill Flare X5 64 GB,174.99,"5,5600","2,32",2.734,Black / White,12.857,36
Corsair Vengeance LPX 128 GB,265.99,"4,3600","4,32",2.078,Black / Yellow,10,18
G.Skill Trident Z Neo 32 GB,89.99,"4,4000","2,16",2.812,Black / Silver,9,18
Corsair Dominator Titanium 32 GB,199.99,"5,7000","2,16",6.25,Black,9.714,34
G.Skill Trident Z5 RGB 48 GB,259.99,"5,8000","2,24",5.416,White / Black,10,40
G.Skill Trident Z5 RGB 64 GB,214.99,"5,6400","2,32",3.359,Silver / Black,10,32
Kingston ValueRAM 8 GB,23.27,"4,2666","1,8",2.909,Green / Black,14.254,19
ADATA XPG Lancer Blade RGB 32 GB,114.99,"5,6400","2,16",3.593,White,10,32
Kingston FURY Beast 16 GB,,"4,3200","2,8",,Black / Silver,10,16
Corsair Dominator Platinum RGB 32 GB,159.99,"5,5600","2,16",5,White,12.857,36
Corsair Vengeance RGB 64 GB,187.99,"5,5200","2,32",2.937,Black / Gray,15.385,40
Kingston FURY Beast 64 GB,214.99,"5,5600","2,32",3.359,Black,14.286,40
TEAMGROUP T-Force Vulcan 64 GB,184.99,"5,6000","2,32",2.89,Black,12.667,38
G.Skill Trident Z5 RGB 32 GB,189.99,"5,7800","2,16",5.937,Silver / Black,9.231,36
Corsair Vengeance 64 GB,184.99,"5,5200","2,32",2.89,Gray,15.385,40
Patriot Viper Xtreme 5 48 GB,,"5,8200","2,24",,Black,9.268,38
Corsair Vengeance 96 GB,304.99,"5,5600","2,48",3.177,Black,14.286,40
GeIL Polaris RGB 32 GB,89.99,"5,6000","2,16",2.812,Black,12.667,38
Kingston HyperX Fury RGB 16 GB,,"4,3200","2,8",,Black,10,16
G.Skill Trident Z5 Neo RGB 48 GB,159.99,"5,6400","2,24",3.333,White / Black,10,32
OLOy Blade RGB 32 GB,62.99,"4,3600","2,16",1.968,Black,10,18
Corsair Vengeance RGB Pro SL 16 GB,64.98,"4,3600","2,8",4.061,White / Black,10,18
G.Skill Trident Z5 Neo 32 GB,109.99,"5,5600","2,16",3.437,Black,10,28
Crucial Classic 8 GB,30.98,"5,5600","1,8",3.873,Black,16.429,46
Corsair Vengeance RGB Pro 32 GB,127.99,"4,3600","4,8",4,Black,10,18
Patriot Viper Steel 16 GB,41.99,"4,3600","2,8",2.624,Gray,10,18
TEAMGROUP Elite 16 GB,23.99,"3,1600","2,8",1.499,Black,13.75,11
Corsair Vengeance RGB 32 GB,149.99,"5,6600","2,16",4.687,Black,9.697,32
G.Skill Trident Z Royal 32 GB,104.99,"4,4000","2,16",3.281,Silver,9,18
Corsair Vengeance 32 GB,139.99,"5,6600","2,16",4.375,Black,9.697,32
Samsung M386A4G40DM0-CPB 32 GB,33.25,"4,2133","1,32",1.039,Black / Green,14.065,15
ADATA Premier 16 GB,57.41,"5,4800","1,16",3.588,Black,16.667,40
Neo Forza FAYE 32 GB,,"4,3600","2,16",,Black / Silver,10,18
Kingston FURY Beast RGB 16 GB,85.6,"5,4800","2,8",5.35,Black,15.833,38
Timetec 75TT133U2R8-8G 8 GB,,"3,1333","1,8",,Green / Black,13.503,9
Corsair Vengeance LPX 64 GB,129.99,"4,2666","2,32",2.031,Black / Yellow,12.003,16
TEAMGROUP T-Force Xtreem ARGB 32 GB,84.99,"4,3600","2,16",2.656,White,10,18
Corsair Dominator Platinum RGB 32 GB,169.99,"5,6400","2,16",5.312,Black,10,32
Corsair Vengeance LPX 16 GB,47.99,"4,3200","2,8",2.999,Black,10,16
TEAMGROUP T-Force Delta RGB 32 GB,209.99,"5,8000","2,16",6.562,White / Silver,9.5,38
G.Skill Trident Z5 RGB 64 GB,209.99,"5,5600","2,32",3.281,White / Black,10,28
TEAMGROUP T-Create Expert 64 GB,194.99,"5,6400","2,32",3.047,Black,10.625,34
Corsair Vengeance 32 GB,114.99,"5,6000","2,16",3.593,White / Gray,12,36
Corsair Vengeance 32 GB,109.99,"5,5200","2,16",3.437,Gray,15.385,40
G.Skill Trident Z5 Neo RGB 32 GB,114.99,"5,6400","2,16",3.593,,10,32
G.Skill Trident Z5 RGB 32 GB,114.99,"5,6000","2,16",3.593,Silver / Black,12,36
Patriot Viper Elite II 8 GB,19.48,"4,3200","1,8",2.435,Red / Black,11.25,18
Corsair Dominator Titanium 96 GB,439.99,"5,6400","2,48",4.583,Black,10,32
Corsair Vengeance RGB Pro SL 32 GB,92.99,"4,3200","2,16",2.906,Black,10,16
OLOy WarHawk RGB 16 GB,39.99,"4,3600","2,8",2.499,Black / White,10,18
Corsair Vengeance RGB 32 GB,129.99,"5,7000","2,16",4.062,Black / Gray,10.286,36
G.Skill Trident Z5 32 GB,107.99,"5,6000","2,16",3.375,Black,12,36
PNY XLR8 Gaming EPIC-X RGB 16 GB,46.99,"4,3200","2,8",2.937,Black,10,16
Corsair Vengeance 64 GB,191.27,"5,6000","2,32",2.989,Gray,13.333,40
Silicon Power XPOWER Zenith RGB Gaming 32 GB,99.99,"5,6000","2,16",3.125,Black,10,30
Patriot Viper Steel 8 GB,26.99,"4,3200","2,4",3.374,Silver / Black,10,16
Timetec PINNACLE Konduit 16 GB,32.99,"4,3200","1,16",2.062,Black,10,16
Kingston FURY Beast 32 GB,122.99,"5,5200","2,16",3.843,Black,13.846,36
Corsair Dominator Titanium 32 GB,194.99,"5,6600","2,16",6.093,White,9.697,32
Corsair Vengeance LPX 256 GB,634.99,"4,3200","8,32",2.48,Black / Yellow,10,16
Patriot Viper Venom 64 GB,189.99,"5,6400","2,32",2.969,Black / White,10,32
Silicon Power XPOWER Zenith Gaming 16 GB,36.99,"4,3200","2,8",2.312,Black / Silver,10,16
Corsair Vengeance 64 GB,229.99,"5,6000","2,32",3.594,Black / Gray,10,30
Corsair Vengeance 64 GB,215.92,"5,6000","2,32",3.374,Gray,13.333,40
Lexar Ares RGB 32 GB,,"5,6000","2,16",,Black,11.333,34
Silicon Power XPOWER Zenith RGB Gaming 32 GB,99.99,"5,6000","2,16",3.125,White,10,30
Timetec PINNACLE Konduit 16 GB,38.99,"4,3200","2,8",2.437,White,10,16
TEAMGROUP T-Force Delta RGB 32 GB,74.98,"4,3200","2,16",2.343,White,10,16
Crucial CT2K16G52C42U5 32 GB,109.99,"5,5200","2,16",3.437,Black,16.154,42
Kingston HyperX Fury 16 GB,,"4,2666","1,16",,Black,12.003,16
Corsair Vengeance 64 GB,224.99,"5,5600","2,32",3.515,Black / Gray,12.857,36
TEAMGROUP T-Force Vulcan 32 GB,102.99,"5,6000","2,16",3.218,Red,10,30
Corsair Vengeance RGB Pro SL 16 GB,62.99,"4,3600","2,8",3.937,Black,10,18
Lexar Ares RGB 32 GB,99.99,"5,5600","2,16",3.125,Black,11.429,32
Patriot Signature Line 8 GB,16.98,"4,2400","1,8",2.123,Green / Black,14.167,17
G.Skill Ripjaws V 16 GB,39.99,"4,3200","2,8",2.499,Red,10,16
ADATA XPG LANCER RGB 32 GB,213.69,"5,6000","2,16",6.678,White,13.333,40
Corsair Vengeance 96 GB,374.99,"5,6800","2,48",3.906,Black,11.765,40
ADATA XPG GAMMIX D30 16 GB,,"4,3200","2,8",,Silver / Black,10,16
Corsair Vengeance 32 GB,104.99,"5,5600","1,32",3.281,Black / Gray,14.286,40
Lexar THOR 32 GB,,"4,3600","2,16",,White,10,18
Corsair Vengeance 64 GB,169.99,"5,4800","2,32",2.656,Black,16.667,40
Corsair Vengeance RGB Pro SL 32 GB,92.99,"4,3200","4,8",2.906,White / Black,10,16
TEAMGROUP T-Create Expert 16 GB,36.99,"4,3200","2,8",2.312,Gray,10,16
Corsair Vengeance RGB 64 GB,229.99,"5,6000","2,32",3.594,Black,10,30
TEAMGROUP T-Force Delta RGB 32 GB,108.57,"5,6800","2,16",3.393,Black / Silver,10,34
Corsair Vengeance 32 GB,104.99,"5,5600","2,16",3.281,White / Gray,14.286,40
G.Skill Trident Z5 RGB 48 GB,214.99,"5,7200","2,24",4.479,Black,10,36
Timetec FBA_75TT160UL1R8-4G 16 GB,19.98,"3,1600","2,8",1.249,Black,13.75,11
Kingston FURY Beast 32 GB,114.99,"5,4800","2,16",3.593,Black / Silver,15.833,38
Corsair Vengeance 64 GB,234.99,"5,6000","4,16",3.672,Black,12,36
Kingston Kingston Fury Red 16GB (2x8GB) DDR4 PC4-21300C16 2666MHz Dual Channel Kit (HX426C16FR2K2/16) 16 GB,,"4,2666","2,8",,Red,12.003,16
TEAMGROUP T-Create Expert 64 GB,179.99,"5,6000","2,32",2.812,White,11.333,34
G.Skill Ripjaws V 64 GB,159.99,"4,4000","2,32",2.5,Black,9,18
Corsair Vengeance LPX 8 GB,24.99,"4,2400","1,8",3.124,Black / Yellow,11.667,14
G.Skill Trident Z5 RGB 32 GB,115.99,"5,6000","2,16",3.625,White / Black,10.667,32
Kingston HyperX Fury 16 GB,,"3,1600","2,8",,Blue / Silver,12.5,10
Kingston FURY Beast 32 GB,119.99,"5,6000","1,32",3.75,Black / Silver,12,36
Lexar Ares RGB 32 GB,75.54,"4,3600","2,16",2.361,Black,10,18
Kingston FURY Renegade 64 GB,244.99,"5,6000","2,32",3.828,Silver / Black,10.667,32
G.Skill Ripjaws S5 32 GB,104.99,"5,6000","2,16",3.281,Black,10,30
Corsair Vengeance RGB Pro 32 GB,87.99,"4,2666","2,16",2.75,Black,12.003,16
Klevv BOLT X 32 GB,59.99,"4,3200","2,16",1.875,Black,10,16
Patriot Signature Line 8 GB,41.44,"5,4800","1,8",5.18,Black,16.667,40
TEAMGROUP Elite 16 GB,40.99,"5,4800","1,16",2.562,Black,16.667,40
Corsair Vengeance RGB RS 16 GB,64.99,"4,3600","2,8",4.062,Black / Gray,10,18
Patriot Viper Steel 16 GB,65.98,"4,4000","2,8",4.124,Gray / Black,8,16
Corsair Dominator Titanium 64 GB,299.99,"5,6000","2,32",4.687,Black,10,30
Corsair Dominator Platinum RGB 32 GB,179.99,"5,6600","2,16",5.625,Black,9.697,32
Corsair Vengeance RGB 32 GB,109.99,"5,5600","2,16",3.437,Black / Gray,14.286,40
G.Skill Aegis 32 GB,72.98,"4,3200","4,8",2.281,Red / Black,10,16
Corsair Dominator Platinum RGB 32 GB,144.99,"5,5200","2,16",4.531,White,15.385,40
Crucial CT4K32G4LFQ4213 128 GB,,"4,2133","4,32",,Black / Green,14.065,15
Corsair Vengeance 32 GB,109.99,"5,6400","2,16",3.437,Black,11.25,36
Corsair Dominator Platinum RGB 32 GB,209.99,"5,7200","2,16",6.562,Black,9.444,34
Mushkin Silverline 2 GB,15.95,"2,800","1,2",7.975,Gray / Silver,12.5,5
Corsair Dominator Titanium 96 GB,439.99,"5,6400","2,48",4.583,White,10,32
Crucial Ballistix 16 GB,,"4,3200","2,8",,White,10,16
Kingston FURY Beast 32 GB,110.95,"5,5600","1,32",3.467,Black,14.286,40
Patriot Viper Venom 32 GB,94.99,"5,6200","2,16",2.968,Black / White,12.903,40
Corsair Vengeance RGB 32 GB,139.99,"5,5600","2,16",4.375,Black / Gray,12.857,36
Corsair Vengeance LPX 8 GB,29.99,"4,2400","2,4",3.749,Black / Yellow,13.333,16
TEAMGROUP T-Force Delta RGB 32 GB,104.99,"5,5600","2,16",3.281,White,11.429,32
Corsair Vengeance 64 GB,204.99,"5,6000","2,32",3.203,White / Gray,13.333,40
Kingston FURY Beast 16 GB,73.98,"5,6000","1,16",4.624,Black,12,36
Patriot Signature Line 8 GB,17.48,"4,2666","1,8",2.185,Green,14.254,19
G.Skill F5-5600J2834F32GX2-TZ5RK 64 GB,204.99,"5,5600","2,32",3.203,Black,10,28
TEAMGROUP Elite 16 GB,29.99,"4,2666","2,8",1.874,Black,14.254,19
TEAMGROUP T-Create Expert 96 GB,370.33,"5,6800","2,48",3.858,Black,10.588,36
Corsair Vengeance 96 GB,399.99,"5,6000","4,24",4.167,Black,10,30
ADATA XPG GAMMIX D10 16 GB,,"4,3200","2,8",,Black / White,10,16
G.Skill Trident Z Neo 32 GB,169.99,"4,3600","2,16",5.312,Black / Silver,7.778,14
Corsair Vengeance LPX 32 GB,79.98,"4,3000","2,16",2.499,Black,10.667,16
Corsair Dominator Titanium 64 GB,309.99,"5,6400","2,32",4.844,Black,10,32
SK Hynix HMA81GU6MFR8N-UH 8 GB,,"4,2400","1,8",,Green / Black,14.167,17
Kingston FURY Beast 32 GB,64.98,"4,3200","1,32",2.031,Black,10,16
ADATA XPG Z1 16 GB,,"4,3200","2,8",,Red,10,16
Patriot Viper Steel 32 GB,69.98,"4,3600","2,16",2.187,Silver / Black,10,18
